// Metadata
{"description": "Metadata for disputed Shakespeare works.", "authors": [["unknown", 0]], "works": [{"id": 0, "author": 0, "title": "Vortigern and Rowena", "filename": "processed/disputed/vortigern.txt"}, {"id": 1, "author": 0, "title": "Thomas Lord Cromwell", "filename": "processed/disputed/cromwell.txt"}, {"id": 2, "author": 0, "title": "The Birth of Merlin", "filename": "processed/disputed/cromwell.txt"}, {"id": 3, "author": 0, "title": "Pericles (Act I)", "filename": "processed/disputed/pericles_i.txt"}, {"id": 4, "author": 0, "title": "Pericles (Act II)", "filename": "processed/disputed/pericles_ii.txt"}, {"id": 5, "author": 0, "title": "Pericles (Act III)", "filename": "processed/disputed/pericles_iii.txt"}, {"id": 6, "author": 0, "title": "Pericles (Act IV)", "filename": "processed/disputed/pericles_iv.txt"}, {"id": 7, "author": 0, "title": "Pericles (Act V)", "filename": "processed/disputed/pericles_v.txt"}]}

// (sentence, author_id, work_id)
("walk or peaceful night the tomb where grief should sleep can breed me quiet here pleasures court mine eyes and mine eyes shun them and danger which i fear'd is at antioch whose aim seems far too short to hit me here yet neither pleasure's art can joy my spirits nor yet the other's distance comfort me then it is thus the passions of the mind that have their first conception by mis dread have", 0, 3)
("misery why would you not acquaint me with your state is banister your poor friend forgot whose goods whose love whose life and all is yours i thought your usage would be as the rest that had more kindnesse at my hands then you yet look'd ascance when as they saw me poor if banister should bear so base a heart i never would look my husband in the face but hate him as i", 0, 2)
("i bid you or you'll move me else and furthermore tell him we desire to know of him of whence he is his name and parentage the king my father sir has drunk to you i thank him wishing it so much blood unto your life i thank both him and you and pledge him freely and further he desires to know of you of whence you are your name and parentage a gentleman of", 0, 4)
("crosbie sent to me last night they would come dine with me and take their bond in i pray thee hie thee home and see that all things be in readinesse they shall be welcome husband i'le go before but is not that man master friskiball she runs and embraces him o heavens it is kind master friskiball say sir what hap hath brought you to this passe the same that brought you to your", 0, 1)
("be a beggar now afore god all is but cast away that is bestowed upon this thriftless lad well had i bound him to some honest trade this had not been but it was his mother's doing to send him to the university how build a house where now this cottage stands as fair as that at sheen he shall not hear me a good boy tom i con thee thank tom well said tom", 0, 2)
("each man's breast the attempt to check their rage would have been useless his body is become one gaping wound o my good friends wou'd you had spar'd his life and that your zeal had been more temperate for by the workings of my soul i find this was the instrument but not the head name him you deem the murderer good my lord be silent and mark well that i shall say the scots", 0, 0)
("thy brother and thy sister tell them it suits but ill their present years to tarry thus when summon'd to our presence my gracious father i obey o dearest husband calm thy ruffled soul they mean not to offend your grace perchance they know not of your wish for their attendance peace then and with thy words whet not i pray that wrath which kindles sore within my breast again dost hear me bid thy", 0, 0)
("art now alas become a flow'r that by the radiance of the sun is parch'd and lacking drops of succour droops and dies whither so fast good fool good fool say'st thou marry these are sweet words that do not often fall to our lot but let me tell you good master fools have excellent wits and those that ha' none will gladly go flatter lest the fool's folly should make them still more foolish", 0, 0)
("masters soule give formal welcome to the thronged tables that shall receive the cardinals followers and the attendants of the great lord chancellor but all my care cromwell depends on thee thou art a man differing from vulgar form and by how much thy spirit is ranckt 'bove these in rules of art by so much it shines brighter by travell whose observance pleads his merit in a most learned yet unaffecting spirit good cromwell", 0, 1)
("us peace and come to us as favourers not as foes thou speak'st like him's untutor'd to repeat who makes the fairest show means most deceit but bring they what they will and what they can what need we fear the ground's the lowest and we are half way there go tell their general we attend him here to know for what he comes and whence he comes and what he craves i go my", 0, 3)
("hold out to tyrus there i'll leave it at careful nursing go thy ways good mariner i'll bring the body presently philemon ho doth my lord call get fire and meat for these poor men 't has been a turbulent and stormy night i have been in many but such a night as this till now i ne'er endured your master will be dead ere you return there's nothing can be minister'd to nature that", 0, 5)
('and for a further grief god give you joy what are you both pleased yes if you love me sir even as my life or blood that fosters it what are you both agreed yes if it please your majesty it pleaseth me so well that i will see you wed and then with what haste you can get you to bed', 0, 4)
("he will break for fashion sake and unto those they owe a thousand pound pay scarce a hundred o sir beware of him the man is lewdly given to dice and drabs spends all he hath in harlots companies it is no mercy for to pity him i speak the truth of him for nothing else but for the kindnesse that i bear to you if it be so he hath deceiv'd me much and", 0, 2)
("blood which thou hast turn'd from out its wonted course and make it fall on thee alike i do defy thy rage and thee where is my father curse upon thee thou grat'st my soul o if around this tatter'd conscience e'er did cling repentance i now cast it off yet stand aloof and hear me yet a while i will not 'twere better that thou should'st left waxing warm i rise and pour upon", 0, 0)
("our hands with blood that ne'er did us offend is't not most serpent like to sting sweet sleep which even from the giant takes all strength and makes man taste of that which is to come let us i pray thee friend turn from the deed i cannot dare not nay i will not do't— first murderer coward take hence that poor unmanly carcase or this my steel shall work a double end second murderer", 0, 0)
