// Metadata
{"description": "Metadata for Shakespeare binary classification dataset. Both WS's work and those of his contemporaries are included in sentence form.", "authors": [["shakespeare", 0], ["dekker", 1], ["jonson", 2], ["middleton", 4], ["marlowe", 5]], "works": [{"id": 0, "author": 1, "title": "The Pleasant Comedie of Old Fortunatus", "filename": "processed/fortunatus_dekker.txt"}, {"id": 1, "author": 0, "title": "All's Well That Ends Well", "filename": "processed/endswell_shakespeare.txt"}, {"id": 2, "author": 1, "title": "The Noble Spanish Soldier", "filename": "processed/spanish_dekker.txt"}, {"id": 3, "author": 0, "title": "As You Like It", "filename": "processed/likeit_shakespeare.txt"}, {"id": 4, "author": 2, "title": "The Alchemist", "filename": "processed/alchemist_jonson.txt"}, {"id": 5, "author": 0, "title": "Antony and Cleopatra", "filename": "processed/antony_shakespeare.txt"}, {"id": 6, "author": 4, "title": "A Chaste Maid in Cheapside", "filename": "processed/chastemaid_middleton.txt"}, {"id": 7, "author": 0, "title": "A Comedy of Errors", "filename": "processed/comedyoferrors_shakespeare.txt"}, {"id": 8, "author": 0, "title": "Coriolanus", "filename": "processed/coriolanus_shakespeare.txt"}, {"id": 9, "author": 0, "title": "Cymbeline", "filename": "processed/cymbeline_shakespeare.txt"}, {"id": 10, "author": 5, "title": "Dido (Act I)", "filename": "processed/dido_i_marlowe.txt"}, {"id": 11, "author": 5, "title": "Dido (Act II)", "filename": "processed/dido_ii_marlowe.txt"}, {"id": 12, "author": 5, "title": "Dido (Act III)", "filename": "processed/dido_iii_marlowe.txt"}, {"id": 13, "author": 5, "title": "Dido (Act IV)", "filename": "processed/dido_iv_marlowe.txt"}, {"id": 14, "author": 5, "title": "Dido (Act V)", "filename": "processed/dido_v_marlowe.txt"}, {"id": 15, "author": 5, "title": "The Tragical History of the Life and Death of Doctor Faustus", "filename": "processed/faustus_marlowe.txt"}, {"id": 16, "author": 4, "title": "Your Five Gallants", "filename": "processed/fivegallants_middleton.txt"}, {"id": 17, "author": 0, "title": "Hamlet", "filename": "processed/hamlet_shakespeare.txt"}, {"id": 18, "author": 4, "title": "Hengist and Horsa", "filename": "processed/hengist_middleton.txt"}, {"id": 19, "author": 0, "title": "Henry IV, Part 1", "filename": "processed/hen_iv_i_shakespeare.txt"}, {"id": 20, "author": 0, "title": "Henry IV, Part 2", "filename": "processed/hen_iv_ii_shakespeare.txt"}, {"id": 21, "author": 5, "title": "The Jew of Malta (Act I)", "filename": "processed/jewofmalta_i_marlowe.txt"}, {"id": 22, "author": 5, "title": "The Jew of Malta (Act II)", "filename": "processed/jewofmalta_ii_marlowe.txt"}, {"id": 23, "author": 5, "title": "The Jew of Malta (Act III)", "filename": "processed/jewofmalta_iii_marlowe.txt"}]}

// (sentence, author_id, work_id)
("hospitable canon would i wash my fierce hand in's heart go you to the city learn how 'tis held and what they are that must be hostages for rome will not you go i am attended at the cypress grove i pray you 'tis south the city mills bring me word thither how the world goes that to the pace of it i may spur on my journey i shall sir the augurer tells me", 0, 8)
("didst thou draw thy sword on me i never saw the chain so help me heaven and this is false you burden me withal why what an intricate impeach is this i think you all have drunk of circe's cup if here you housed him here he would have been if he were mad he would not plead so coldly you say he dined at home the goldsmith here denies that saying sirrah what say", 0, 7)
("thing that's heavy in itself upon enforcement flies with greatest speed so did our men heavy in hotspur's loss lend to this weight such lightness with their fear that arrows fled not swifter toward their aim than did our soldiers aiming at their safety fly from the field then was the noble worcester too soon ta'en prisoner and that furious scot the bloody douglas whose well labouring sword had three times slain the appearance of", 0, 20)
("forgetfulness and not man's will that leads him forth into licentious ways he cannot certainly commit such errors and think upon 'em truly as they are acting why's abstinence ordain'd but for such seasons my lord y'have pleas'd to put us to much pains but we confess 'tis portion of our duties will your grace please to walk dinner stays for you i have answer'd that already but my lord we must not so yield", 4, 18)
('this while calling for help yes sir he scorned all famagosta when he was in his huffing and now he lies puffing for wind they say they scorn him the poison of their scorn infects not him he wants no help see where he breathless lies brother to what place have you borne his body i bear it i touched it not nor i a leaden slumber pressed mine eyes whether it were lead or', 1, 0)
("haste for it money by me heart and goodwill you might but surely master not a rag of money went'st not thou to her for a purse of ducats he came to me and i deliver'd it and i am witness with her that she did god and the rope maker bear me witness that i was sent for nothing but a rope mistress both man and master is possess'd i know it by their", 0, 7)
("now i know her if she be a traitor why so am i we still have slept together rose at an instant learn'd play'd eat together and wheresoever we went like juno's swans still we went coupled and inseparable she is too subtle for thee and her smoothness her very silence and her patience speak to the people and they pity her thou art a fool she robs thee of thy name and thou wilt", 0, 3)
("honesty as the worst here can be i should be sham'd too why fool they swear by that we worship not so you may swear your heart out and ne'er hurt yourself that was well thought on i'd quite lost myself you shall prevail in noble suits my lord but this this shames the speaker though it shall be to no purpose good my lord think on your noble and most hopeful issue lord vortimer", 4, 18)
("wake your senses with the sound of gold's sweet music tell me what you hear believe me sir i hear not any thing ha ha ha 'sheart i thought as much if i hear any jingling but of the purse strings that go flip flap flip flap flip flap would i were turned into a flip flap and sold to the butchers shadow i'll try thine ears hark dost rattle yes like three blue beans", 1, 0)
("heat i have is all enclos'd within a zeal to virtue and that's not fit for earthly propagation alas i shall but forfeit all their hopes i'm a man made without desires tell 'em this gives no satisfaction to their wills my lord i prov'd them with such words but all were fruitless their sturdy voices blew 'em into clouds a virgin of the highest subject's blood they have pick'd out for your embrace and", 4, 18)
